Model,FPR,TPR,AUC
Random Forest,0.2665430705170854,1.0,0.9996587466056626
Random Forest,0.2687752767831112,1.0,0.9996587466056626
Random Forest,0.26997585389739026,1.0,0.9996587466056626
Random Forest,0.2774454470019212,1.0,0.9996587466056626
Random Forest,0.2803863376417556,1.0,0.9996587466056626
Random Forest,0.28073469936980916,1.0,0.9996587466056626
Random Forest,0.2812819113546487,1.0,0.9996587466056626
Random Forest,0.28167662163879525,1.0,0.9996587466056626
Random Forest,0.2871367805694892,1.0,0.9996587466056626
Random Forest,0.28759578078628084,1.0,0.9996587466056626
Random Forest,0.28802487870881893,1.0,0.9996587466056626
Random Forest,0.28913574894033744,1.0,0.9996587466056626
Random Forest,0.2903198797927771,1.0,0.9996587466056626
Random Forest,0.29109883455808144,1.0,0.9996587466056626
Random Forest,0.29451666679125954,1.0,0.9996587466056626
Random Forest,0.2983411702262856,1.0,0.9996587466056626
Random Forest,0.2993473824279168,1.0,0.9996587466056626
Random Forest,0.3011609565743932,1.0,0.9996587466056626
Random Forest,0.30163640305302425,1.0,0.9996587466056626
Random Forest,0.301956357601537,1.0,0.9996587466056626
Random Forest,0.30235106788568356,1.0,0.9996587466056626
Random Forest,0.30269195404017374,1.0,0.9996587466056626
Random Forest,0.3032406611397259,1.0,0.9996587466056626
Random Forest,0.30349931598501895,1.0,0.9996587466056626
Random Forest,0.30380132915697955,1.0,0.9996587466056626
Random Forest,0.30418108829399937,1.0,0.9996587466056626
Random Forest,0.3045877594958473,1.0,0.9996587466056626
Random Forest,0.3053547533434503,1.0,0.9996587466056626
Random Forest,0.30584963631334616,1.0,0.9996587466056626
Random Forest,0.3062413563680673,1.0,0.9996587466056626
Random Forest,0.3083270413922508,1.0,0.9996587466056626
Random Forest,0.31124849554082035,1.0,0.9996587466056626
Random Forest,0.3117373980518655,1.0,0.9996587466056626
Random Forest,0.3125671867174009,1.0,0.9996587466056626
Random Forest,0.31302020647534184,1.0,0.9996587466056626
Random Forest,0.31347920669213347,1.0,0.9996587466056626
Random Forest,0.3138544804850152,1.0,0.9996587466056626
Random Forest,0.31420583244249417,1.0,0.9996587466056626
Random Forest,0.3145048553850294,1.0,0.9996587466056626
Random Forest,0.3149055461280267,1.0,0.9996587466056626
Random Forest,0.31555143568390287,1.0,0.9996587466056626
Random Forest,0.3158340123645987,1.0,0.9996587466056626
Random Forest,0.31637075854644947,1.0,0.9996587466056626
Random Forest,0.3167819150924355,1.0,0.9996587466056626
Random Forest,0.3173605244862412,1.0,0.9996587466056626
Random Forest,0.3176984204113061,1.0,0.9996587466056626
Random Forest,0.3180198700745315,1.0,0.9996587466056626
Random Forest,0.31859698435362455,1.0,0.9996587466056626
Random Forest,0.31941780233088385,1.0,0.9996587466056626
Random Forest,0.319698883896867,1.0,0.9996587466056626
Random Forest,0.3200472456249206,1.0,0.9996587466056626
Random Forest,0.32054212859481646,1.0,0.9996587466056626
Random Forest,0.32095926559965315,1.0,0.9996587466056626
Random Forest,0.32150946781391804,1.0,0.9996587466056626
Random Forest,0.3222570251702562,1.0,0.9996587466056626
Random Forest,0.3248226420172088,1.0,0.9996587466056626
Random Forest,0.32674535953771056,1.0,0.9996587466056626
Random Forest,0.32717894280438664,1.0,0.9996587466056626
Random Forest,0.32777997891888255,1.0,0.9996587466056626
Random Forest,0.3280296630758995,1.0,0.9996587466056626
Random Forest,0.32852753627522074,1.0,0.9996587466056626
Random Forest,0.3291270772750039,1.0,0.9996587466056626
Random Forest,0.33016917222973935,1.0,0.9996587466056626
Random Forest,0.3311694039725198,1.0,0.9996587466056626
Random Forest,0.3316313944187368,1.0,0.9996587466056626
Random Forest,0.33203657050587204,1.0,0.9996587466056626
Random Forest,0.3324522123959961,1.0,0.9996587466056626
Random Forest,0.333002414610261,1.0,0.9996587466056626
Random Forest,0.3359373247912446,1.0,0.9996587466056626
Random Forest,0.33636941294320805,1.0,0.9996587466056626
Random Forest,0.3366639505416053,1.0,0.9996587466056626
Random Forest,0.3374653320275998,1.0,0.9996587466056626
Random Forest,0.33812168738646475,1.0,0.9996587466056626
Random Forest,0.3389499809372874,1.0,0.9996587466056626
